Metric	Property	Metric Value	Hierarchy
Names per property	http://snomed.info/id/405815000	2	
Names per property	http://snomed.info/id/732944001	2	
Names per property	http://snomed.info/id/370129005	2	
Names per property	http://snomed.info/id/704323007	2	
Names per property	http://snomed.info/id/704346009	2	
Names per property	http://snomed.info/id/288556008	2	
Names per property	http://snomed.info/id/424226004	2	
Names per property	http://snomed.info/id/363702006	2	
Names per property	http://snomed.info/id/718497002	2	
Names per property	http://snomed.info/id/736518005	2	
Names per property	http://snomed.info/id/370130000	2	
Names per property	http://snomed.info/id/408732007	2	
Names per property	http://snomed.info/id/763032000	2	
Names per property	http://snomed.info/id/363713009	2	
Names per property	http://snomed.info/id/733722007	2	
Names per property	http://snomed.info/id/736476002	2	
Names per property	http://snomed.info/id/766954007	2	
Names per property	http://snomed.info/id/704320005	2	
Names per property	http://snomed.info/id/762949000	2	
Names per property	http://snomed.info/id/410675002	2	
Names per property	http://snomed.info/id/774163005	2	
Names per property	http://snomed.info/id/408729009	2	
Names per property	http://snomed.info/id/424244007	2	
Names per property	http://snomed.info/id/726633004	2	
Names per property	http://snomed.info/id/719722006	2	
Names per property	http://snomed.info/id/733931002	2	
Names per property	http://snomed.info/id/370133003	2	
Names per property	http://snomed.info/id/774081006	2	
Names per property	http://snomed.info/id/116686009	2	
Names per property	http://snomed.info/id/363710007	2	
Names per property	http://snomed.info/id/733928003	2	
Names per property	http://snomed.info/id/418775008	2	
Names per property	http://snomed.info/id/363699004	2	
Names per property	http://snomed.info/id/762705008	2	SNOMED CT Model Component
Names per property	http://snomed.info/id/419066007	2	
Names per property	http://snomed.info/id/732946004	2	
Names per property	http://snomed.info/id/363714003	2	
Names per property	http://snomed.info/id/719715003	2	
Names per property	http://snomed.info/id/424876005	2	
Names per property	http://snomed.info/id/774161007	2	
Names per property	http://snomed.info/id/363700003	2	
Names per property	http://snomed.info/id/762951001	2	
Names per property	http://snomed.info/id/734136001	2	
Names per property	http://snomed.info/id/736474004	2	
Names per property	http://snomed.info/id/733932009	2	
Names per property	http://snomed.info/id/704321009	2	
Names per property	http://snomed.info/id/246456000	2	
Names per property	http://snomed.info/id/732943007	2	
Names per property	http://snomed.info/id/272741003	2	
Names per property	http://snomed.info/id/704326004	2	
Names per property	http://snomed.info/id/766952006	2	
Names per property	http://snomed.info/id/47429007	2	
Names per property	http://snomed.info/id/363705008	2	
Names per property	http://snomed.info/id/370132008	2	
Names per property	http://snomed.info/id/118168003	2	
Names per property	http://snomed.info/id/370135005	2	
Names per property	http://snomed.info/id/774158006	2	
Names per property	http://snomed.info/id/131195008	2	
Names per property	http://snomed.info/id/726542003	2	
Names per property	http://snomed.info/id/118171006	2	
Names per property	http://snomed.info/id/255234002	2	
Names per property	http://snomed.info/id/424361007	2	
Names per property	http://snomed.info/id/263502005	2	
Names per property	http://snomed.info/id/733725009	2	
Names per property	http://snomed.info/id/704327008	2	
Names per property	http://snomed.info/id/766953001	2	
Names per property	http://snomed.info/id/411116001	2	
Names per property	http://snomed.info/id/127489000	2	
Names per property	http://snomed.info/id/733930001	2	
Names per property	http://snomed.info/id/425391005	2	
Names per property	http://snomed.info/id/363698007	2	
Names per property	http://snomed.info/id/246513007	2	
Names per property	http://snomed.info/id/609096000	2	
Names per property	http://snomed.info/id/405816004	2	
Names per property	http://snomed.info/id/736472000	2	
Names per property	http://snomed.info/id/246454002	2	
Names per property	http://snomed.info/id/42752001	2	
Names per property	http://snomed.info/id/246093002	2	
Names per property	http://snomed.info/id/363589002	2	
Names per property	http://snomed.info/id/370134009	2	
Names per property	http://snomed.info/id/260686004	2	
Names per property	http://snomed.info/id/260870009	2	
Names per property	http://snomed.info/id/116676008	2	
Names per property	http://snomed.info/id/246112005	2	
Names per property	http://snomed.info/id/704324001	2	
Names per property	http://snomed.info/id/738774007	2	
Names per property	http://snomed.info/id/408731000	2	
Names per property	http://snomed.info/id/371881003	2	
Names per property	http://snomed.info/id/363703001	2	
Names per property	http://snomed.info/id/405813007	2	
Names per property	http://snomed.info/id/733723002	2	
Names per property	http://snomed.info/id/246514001	2	
Names per property	http://snomed.info/id/736475003	2	
Names per property	http://snomed.info/id/260507000	2	
Names per property	http://snomed.info/id/246075003	2	
Names per property	http://snomed.info/id/363704007	2	
Names per property	http://snomed.info/id/704325000	2	
Names per property	http://snomed.info/id/118169006	2	
Names per property	http://snomed.info/id/246501002	2	
Names per property	http://snomed.info/id/118170007	2	
Names per property	http://snomed.info/id/766939001	2	
Names per property	http://snomed.info/id/246090004	2	
Names per property	http://snomed.info/id/774159003	2	
Names per property	http://snomed.info/id/408730004	2	
Names per property	http://snomed.info/id/732947008	2	
Names per property	http://snomed.info/id/733724008	2	
Names per property	http://snomed.info/id/363709002	2	
Names per property	http://snomed.info/id/784276002	2	
Names per property	http://snomed.info/id/704322002	2	
Names per property	http://snomed.info/id/704347000	2	
Names per property	http://snomed.info/id/405814001	2	
Names per property	http://snomed.info/id/732945000	2	
Names per property	http://snomed.info/id/704647008	2	
Names per property	http://snomed.info/id/774160008	2	
Names per property	http://snomed.info/id/363701004	2	
Names per property	http://snomed.info/id/733933004	2	
Names per property	http://snomed.info/id/370131001	2	
Names per property	http://snomed.info/id/704319004	2	
Names per property	http://snomed.info/id/734137005	2	
Names per property	http://snomed.info/id/736473005	2	
Names per property	http://www.w3.org/2004/02/skos/core#definition	0	
Names per property	http://www.w3.org/2004/02/skos/core#prefLabel	0	
Names per property	http://www.w3.org/2000/01/rdf-schema#label	0	
Names per property	http://www.w3.org/2004/02/skos/core#altLabel	0	
